Date,Open,High,Low,Close,Adj Close,Volume,year,month,day,MA5,MA10,MA20,EMA,BB_upper,BB_lower
2010-01-04,30.620001,31.1,30.59,30.950001,23.474922,38409100,2010,1,4,31.2120002,31.0230003,30.5465,30.62583831014986,31.640681861147367,29.452318138852636
2010-01-05,30.85,31.1,30.639999,30.959999,23.482502,49749600,2010,1,5,31.196000200000004,31.0880002,30.582999950000005,30.670996566326064,31.700838716831832,29.465161183168178
2010-01-06,30.879999,31.08,30.52,30.77,23.338396,58182400,2010,1,6,31.1120002,31.1120002,30.63299995,30.70994927429501,31.745552895257212,29.520447004742785
2010-01-07,30.629999,30.700001,30.190001,30.450001,23.095678,50559700,2010,1,7,30.9940002,31.0890003,30.681,30.709001819600246,31.711113626844742,29.65088637315526
2010-01-08,30.280001,30.879999,30.24,30.66,23.254963,51197400,2010,1,8,30.972,31.0820001,30.734500000000004,30.725287265352602,31.681973066969327,29.78702693303068
2010-01-11,30.709999,30.76,30.120001,30.27,22.959152,68754700,2010,1,11,30.904000000000003,31.058000100000005,30.77450005,30.728593240080926,31.649040305882103,29.899959794117898
2010-01-12,30.15,30.4,29.91,30.07,22.807459,65912100,2010,1,12,30.764,30.9800001,30.79450005,30.697298645787505,31.610820174383882,29.978179925616118
2010-01-13,30.26,30.52,30.01,30.35,23.019827,51863500,2010,1,13,30.651999999999997,30.8820001,30.81250005,30.68041306047441,31.58458922606058,30.040410873939422
2010-01-14,30.309999,31.1,30.26,30.959999,23.482502,63228100,2010,1,14,30.7319998,30.863,30.8570001,30.72037372138161,31.58416064435271,30.12983955564729
2010-01-15,31.08,31.24,30.709999,30.860001,23.406656,79913200,2010,1,15,30.804000000000002,30.887999999999998,30.8985001,30.769861938392882,31.612872331734856,30.184127868265143
2010-01-19,30.75,31.24,30.68,31.1,23.588697,46575700,2010,1,19,30.9,30.901999999999997,30.96250015,30.814636991879272,31.538872515932294,30.386127784067707
2010-01-20,30.809999,30.940001,30.309999,30.59,23.201866,54849500,2010,1,20,31.008000199999998,30.8860001,30.98700015,30.826576421224104,31.510916591308668,30.463083708691332
2010-01-21,30.610001,30.719999,30.0,30.01,22.76195,73086700,2010,1,21,31.048000000000002,30.85,30.9810001,30.816426190631333,31.514662843095806,30.447337356904193
2010-01-22,30.0,30.200001,28.84,28.959999,21.965548,102004600,2010,1,22,30.8680002,30.8,30.94450015,30.757719029618826,31.582505972940165,30.306494327059834
2010-01-25,29.24,29.66,29.1,29.32,22.238596,63373000,2010,1,25,30.5520002,30.678000100000002,30.8800001,30.653174360131317,31.73841964409506,30.02158055590494
2010-01-26,29.200001,29.85,29.09,29.5,22.375122,66639900,2010,1,26,30.2740002,30.5870001,30.822500100000003,30.576681563928332,31.793725562468712,29.851274637531294
